Pet,Breed,Chaos Level,Year Start,Year End,Cumulative Mayhem Level
Pedro Violence,Chihuahua LH,10,2005,2014,100
Mia,Chihuahua LH,1,2008,2017,10
Mia,Chihuahua LH,4,2017,2018,8
Ozzy,Chihuahua Mix,4,2015,2020,24
Ozzy,Chihuahua Mix,6,2015,2023,54
Ozzy,Chihuahua Mix,10,2023,2025,30
Winston,Chihuahua LH,3,2017,2018,6
Goose,Papillon,7,2020,2025,42
Floof,Papillon,1,2023,2025,3
Charlie,Beagle,6,2016,2018,18
Jake,Black Lab,6,2008,2008,6
Enzo,Min Pin,9,2008,2008,9
Hobo,Italian Greyhound,1,2008,2008,1
Milton,Tux Cat,1,2004,2009,6
Morton,Tux Cat,2,2004,2009,12